"BIB_DOC","CTRL_FIELDS","CIS_BIBS","OCLC_BIBS"
24493508,2,1,1
25727779,2,1,1
24086527,2,1,1
24296224,2,1,1
25081165,2,1,1
25674563,2,1,1
23933991,2,1,1
24939474,2,1,1
23881950,2,1,1
24397447,2,1,1
26242084,2,1,1
24942094,2,1,1
24263099,2,1,1
25109548,2,1,1
24946138,2,1,1
25106436,2,1,1
25611391,2,1,1
24937624,2,1,1
24278354,3,1,1
25012259,2,1,1
25110750,2,1,1
24529316,2,1,1
25497482,2,1,1
24949036,2,1,1
24948986,2,1,1
24269330,2,1,1
25119040,2,1,1
25030593,2,1,1
23740655,4,1,1
23739685,3,1,1
23756226,3,1,1
23790837,3,1,1
25785268,2,1,1
24399973,2,1,1
24358486,2,1,1
25761190,2,1,1
25668771,2,1,1
24290738,4,1,1
24214163,2,1,1
23795381,3,1,1
25379168,2,1,1
24332661,2,1,1
24220347,4,1,1
24953294,2,1,1
24567377,2,1,1
24491987,2,1,1
24468905,2,1,1
25735512,2,1,1
24953795,2,1,1
25531509,2,1,1
25463783,2,1,1
24473298,2,1,1
24480979,2,1,1
25012076,2,1,1
24980466,2,1,1
24496457,2,1,1
24174327,2,1,1
24493170,2,1,1
25565293,2,1,1
26268588,2,1,1
26268638,2,1,1
25004802,2,1,1
24077500,2,1,1
25456490,2,1,1
23895933,2,1,1
26250695,2,1,1
25756269,2,1,1
24467675,2,1,1
24254390,2,1,1
24169000,2,1,1
25171916,2,1,1
24744425,2,1,1
23797979,3,1,1
24959709,2,1,1
24973297,2,1,1
24964998,2,1,1
24178843,2,1,1
24965566,2,1,1
25035249,2,1,1
25035417,2,1,1
25035186,2,1,1
25020008,2,1,1
24232190,2,1,1
25035272,2,1,1
23742336,3,1,1
25039546,2,1,1
25042816,2,1,1
25045399,2,1,1
26284414,2,1,1
25049191,2,1,1
25236613,2,1,1
25053625,2,1,1
25796478,2,1,1
23753283,3,1,1
24541170,2,1,1
23952840,2,1,1
25058204,2,1,1
25090985,2,1,1
25252575,2,1,1
23748321,3,1,1
23968958,2,1,1
24189620,2,1,1
25536194,2,1,1
24213839,2,1,1
25582781,2,1,1
25188185,2,1,1
24261253,2,1,1
24989121,2,1,1
24032464,2,1,1
24134660,2,1,1
23852627,2,1,1
23852817,2,1,1
25364753,2,1,1
23853777,2,1,1
25568714,2,1,1
24279906,3,1,1
24150830,2,1,1
24276302,2,1,1
25735172,2,1,1
25644511,2,1,1
24239613,2,1,1
24117033,2,1,1
24209887,2,1,1
24199046,4,1,1
23854687,2,1,1
24447049,2,1,1
24300183,2,1,1
24404083,2,1,1
26266172,2,1,1
26235020,2,1,1
24158338,2,1,1
26266014,2,1,1
24219734,2,1,1
24552468,2,1,1
24205560,2,1,1
24213336,2,1,1
25552032,2,1,1
24215565,3,1,1
24222164,2,1,1
23736703,3,1,1
24199073,4,1,1
24420186,2,1,1
24209700,2,1,1
24112423,2,1,1
24126857,2,1,1
24371422,2,1,1
24851607,2,1,1
24463556,2,1,1
25236794,2,1,1
25017702,2,1,1
24013252,2,1,1
24587118,2,1,1
24038961,2,1,1
24379363,2,1,1
25025165,2,1,1
25798386,2,1,1
25782575,2,1,1
24006486,2,1,1
